Tweets,Date
0,0
Yes Lrihendry a stock market with a net gain of 0 for the previous year a trade war that had yet to bring down the cost of basic goods a govt shutdown that cost a million contractors a months salary  no back pay all thanks to Pres Trump Lucky us pictwittercommAjQa3mR9Q20190130 23593300001,2019-01-30
See trade war shut down etc20190130 23592600000,2019-01-30
Which is lower than it hit last year and where all the gains from last year were wiped out by the end of the year due to your tariffs trade war with China fake caravan invasion rhetoric THIRD TrumpShutdown of the year talking about things you know not which you speak of etc20190130 23591500000,2019-01-30
HarleyDavidson says Trumps trade war wiped away all of its profits this year  20190130 23572600000,2019-01-30
No deal China take your shit and F off US and Chinese officials try for truce in trade war at 2day meeting in Washington  20190130 23562200000,2019-01-30
These are the GOP traitors that spent the 4th of July 2018 in the Kremlin What were they doing there Now each of their states FARMERS are in big trouble from the Trade War Only Daines can be voted out in 2020 the rest of them except Granger terms go until 2023 VoteThemOut 20190130 23561500005,2019-01-30
The Dow of course is a great proxy for predicting future corporate profits of 30 big companies The corporate tax cut was a big windfall for them so it went up Trumps trade war and shutdowns are bad for profits and economy as a whole so Dows going down20190130 23560400002,2019-01-30
Signed up for my soybean money today 165 per bushel for sales lost due to the trade war20190130 23554100000,2019-01-30
pretty convincing statement from Venezuelan Ambassador Jorge Valero US that doesnt recognize any of the agreements made around Iran signed by various European countries that launches a trade war with China that has built a wall a criminal wall that sequesters children20190130 23543500000,2019-01-30
Againbecause it tankedbecause of Trump Trade War20190130 23542700000,2019-01-30
Powell is right in being cautious but has flipped flopped too much and worse now appears bowing to Trump  Lost credibility  that or Trump has requested some respite to go hammer and tongs at China on trade war  hence cannot afford a more hawkish FED further puncturing markets20190130 23541900000,2019-01-30
More IntellectualProperty espionage targeting Apple This continues to highlight the China TradeWar MAGA KAG QAnon QArmy WWG1WGA 20190130 23534100000,2019-01-30
More IntellectualProperty espionage targeting Apple This continues to highlight the China TradeWar MAGA KAG QAnon QArmy WWG1WGA  20190130 23531000000,2019-01-30
Seems China is not too thrilled with Trumps trade war20190130 23515900000,2019-01-30
The two sides have just a month remaining in a 90day truce declared in December in the trade war Business 20190130 23515100002,2019-01-30
Just ignore the fact that for the second year in a row weve had to borrow 1 trillion to service the federal deficit due to Trumps tax breaks for the wealthy And the fact that the stock gains are a net zero for the year due to his idiotic trade war20190130 23514300000,2019-01-30
I believe trade war is only there because one person wants it Hope new president brings about better DEAL for both country20190130 23482400000,2019-01-30
trade US China resume trade talks with a chill in the air Top US and Chinese trade officials returned to the bargaining table Wednesday working to avoid a sharp escalation in the trade war between the worlds two largest economies At the head of a 30person delegation f20190130 23482100000,2019-01-30
Chinese Government Turns Trade War Into Ground War US energy companies may start to feel the bite of the USChina trade war in 2019 The Chinese government has taken the trade war beyond tariffs and a  pictwittercomRbLKXONSe420190130 23480200000,2019-01-30
Protesters rush Beijing delegation as USChina trade war talks start with meeting between VP Liu He and USTR Robert Lighthizer  20190130 23454200000,2019-01-30
If your failing Tradewar had not been started the market could be at 29000 Its still well below where it was before your stupid tariffs20190130 23430500000,2019-01-30
China  the US try to negotiate an end to the Trade War But Trumps growing insecurity makes a deal less likely The politics of a deal are growing more complicated as Ts standing in the polls has been falling again  20190130 23415800000,2019-01-29
Just 10 off its pre trade war high20190130 23415300000,2019-01-30
Winning the trade war alright20190130 23404200000,2019-01-30
Uncertainties such as the tradewar Brexit and IMO2020 to continue to dominate the shippingindustry in 2019 says iContainers shipping  20190130 23403200001,2019-01-30
Is Huawei a Pawn in the Trade War   via ForeignAffairs20190130 23402000000,2019-01-30
USChina trade war talks begin with protesters rushing Beijing delegation  by owenschurchill20190130 23400000004,2019-01-30
TYTLive TheYoungTurks Another measure to limit out of control tRump The bills would require tRump to have congressional approval before taking trade actions like tariffs and quotas under Section 232 of the Trade Expansion Act of 1962 TradeWar  20190130 23395600000,2019-01-30
Visas CEOs worried about the impact of Brexit the US shutdown and the trade war  20190130 23394700001,2019-01-30
Dec 118 takes Meng  Huawei into custody by order of same day G20 ChinaUS trade ultimatum meeting Jan 2819 files formal charges Huawei extradition request for Meng 48 hrs later 2day highlevel trade war negotiations   20190130 23394600000,2019-01-30
Was todays move very bullish Not to me Can we go higher Yes Am I looking for a pause Follow pricebe prepared Catalyst for lower Trade war  may be Going in all short 26962718 zone  watching No conformation no short What next Catchup on my sleep  workout20190130 23390700000,2019-01-30
You are sooo right These officials will rob the people all around the world outside China sooner or later if nothing is done to stop them like trade war Our Chinese are suffering sooo much You should be cautious20190130 23382300001,2019-01-30
No the Dow just broke 25000 AGAIN It was almost at 27000 when you started that disastrous trade war So were still off 2000 from where we were then But look on the bright side you were responsible for an 8 drop in the lead economic indicator in the US Be proud20190130 23351700000,2019-01-30
