,0,neg,neu,pos
41,['By doing so well you mean lowest approval rating in history a clusterfuck of a White House administration that is leaking like a sieve an insane trade war with a country with a roaring economy aides who are rolling over to Mueller a prison sentence pending Strange metrics20190130 23295900000'],0.247,0.587,0.166
42,['The way Japan is treating CEO Ghosn we should highly likely expect to see how Nissan and Mitsubishi together deal with Renault Probably Not a pleasant event for Macron  France Is Eruption of a trade war between France  Japan looming Maybe20190130 23275400000'],0.18,0.82,0.0
43,['Of course it was only below 25K because you started an ill conceived trade war at the same time the Fed was shrinking its balance sheets Sad  20190130 23263000000'],0.274,0.726,0.0
44,['BULLCRAP Even without the stupid trade war the deficit financed tax cut for rich people would not have done anything else20190130 23251900000'],0.271,0.53,0.199
45,['Protesters rush Beijing delegation as USChina trade war talks start with meeting between VP Liu He and USTR Robert Lighthizer  South China Morning Post  20190130 23241000002'],0.135,0.865,0.0
46,['Dear TrumpHow about the meeting between China and United States for the trade warIt is very good or not Tks20190130 23235800000'],0.0,0.76,0.24
47,['Trump is winning the trade war with the ChiComs20190130 23224300000'],0.255,0.523,0.222
48,['An easy bullish narrative is China trade war ends and then a 200B infrastructure but future SPY earnings and global econ concerns linger  20190130 23222800000'],0.093,0.833,0.074
49,['USChina trade war talks begin with protesters rushing Beijing delegation   SCMPNews20190130 23212700000'],0.367,0.633,0.0
50,['Yet it still hasnt recovered from its lowWere on the way to another recession and your trade war is making investors nervous Oh and then theres that pesky Russia thing TrumpPenceForPrison AnnulHisPresidency20190130 23203800000'],0.275,0.725,0.0
51,['So its still 1000 points below where it was a year ago And this is exciting because Maybe if you hadnt started a trade war to tank it in December to start with20190130 23203700000'],0.0,0.825,0.175
52,['Tremendous news for people that have tons of money tied up in stocks and bonds people like you Everywhere else theres businesses hurting andor closing due to your created trade war The 1percent win again20190130 23203000000'],0.144,0.675,0.181
53,['Foxconn is rethinking its 10 billion Wisconsin factory amid Trumps China trade war   wiunion wiright MAGA20190130 23200500000'],0.196,0.804,0.0
54,['USChina trade war talks begin with protesters rushing Beijing delegation  owenschurchill with the story  23184500000'],0.309,0.691,0.0
55,['Trade war                      20190130 23173300003'],0.565,0.435,0.0
56,['Didnt this happen before your trade war as well20190130 23163900000'],0.302,0.698,0.0
57,['Tax cuts were meant to help bring jobs back from overseas  to allow companies to survive the tarrifs China went to zero  corporate tax after Trumps taxes and tarrifs If u liberals were smart u would join the trade war if we made products here instead of china less carbon20190130 23162200000'],0.104,0.734,0.162
58,['What about Trump  China Trade War be fair here20190130 23132100000'],0.275,0.563,0.162
59,['The US China trade conflict has economic impacts  implications for Canada Join CIC in Yeg on Feb 6 for our 1st event of 2019 as we welcome Bart des from ADBHQ Washington DC office to explain this TradeWar  how it may be resolved To RSVP  pictwittercomdZmZHE6tRP20190130 23130900003'],0.045,0.82,0.135
60,['How will US fraud charges against Chinese tech giant Huawei impact trade negotiations AsiaPolicy trade commission are coming to Sydney and Melbourne next month to discuss how regional deals have been hit by the USChina trade war  pictwittercomkhRxFnmIsc20190130 23113500003'],0.214,0.786,0.0
61,['Why Trumps trade war makes sense  if youre Trump Navarro2019 Canada China Huawei 20190130 23100800000'],0.218,0.782,0.0
62,['I just read that our trade war with China also has a winner  and it is neither usUS nor China Russia has stepped up their imports to China and sanctioned companies are profiting from it He even did this for Russia You cannot make this stuff up20190130 23095000001'],0.072,0.81,0.118
63,['Business leaders said they wouldnt invest the tax cuts before the legislation went through long before trade war was real Should have believed them then really should believe them now20190130 23094300000'],0.174,0.826,0.0
64,['Second Chinese man stole Apples futurecar secrets for company in China  via SCMPNews Huawei Xis Tradewar Apple20190130 23092200000'],0.0,1.0,0.0
65,['What the Trade War Means to You  20190130 23092100000'],0.328,0.672,0.0
66,['Heres a graph of the Dow for the past 12 months Hint its down thanks to somebodys unnecessary trade war pictwittercomgQyvXGM1vx20190130 23085900000'],0.151,0.736,0.112
67,['Chinese stocks enter bear market as trade war heats up  Chinas benchmark Shanghai Composite is now down more than 20 from its most recent peak as fears of an allout trade war with the US intensify copyright  2018 January 3020190130 23085500000'],0.218,0.782,0.0
68,['Why dont you thank Powellahole His appropriate change of interest rate policy is responsible not anything you have been doing recently End the trade war not just with China but with our allies as well20190130 23081800000'],0.101,0.807,0.092
69,['There Is No SinoAmerican Trade War  by Martin Feldstein  23070500000'],0.433,0.567,0.0
70,['Two contributors that are fueling home inflation are the labor shortage and the tariff trade war thats increasing the cost of materials necessary at every stage of construction from framing to fine finish Badly constructed homes cost a lot these days even at the entry level20190130 23051600000'],0.17,0.795,0.034
71,['No started well before and driven by different factors USChinaTechColdWar Is Huawei a Pawn in the Trade War  20190130 23045000000'],0.17,0.739,0.091
72,['Today marks the beginning of another round of trade talks between the United States and China as the two countries look to navigate their trade war and differing economic policies Here are five facts on the 2019 USChina trade talks  23043800001'],0.085,0.853,0.061
73,['The trade war exacerbated it true but there is NO WAY what they said was going to happen was going to happen Corporations were already flush with cash BEFORE the tax cut and werent reinvesting a share buyback is no investment20190130 23043100000'],0.277,0.686,0.037
74,['True but the trade war did not compel companies to invest in stock buy backs instead of capex CNBC Forbes20190130 23030300000'],0.259,0.741,0.0
75,['Insights The rally in risk assets since late December has been supported by Fed commentary that they will be patient with further interest rate hikes and positive developments in the Chinese trade war  pictwittercomzc3LadrHNi20190130 23021300000'],0.132,0.636,0.232
