date,open,high,low,close,adj_close,volume,Stockname,Open_USD,High_USD,Low_USD,Close_USD,Adj_Close_USD
2/7/2018,46500,47150,45500,45550,44792.49609,13112253,005930.ks,41.50824085,42.08846357,40.61559051,40.66022303,39.98403691
3/7/2018,45750,46450,45750,46150,45382.51563,10959655,005930.ks,41.11286371,41.74191299,41.11286371,41.47232044,40.78262688
4/7/2018,46700,47050,46050,46250,45480.85156,8776763,005930.ks,41.78307716,42.09622656,41.20151399,41.3804565,40.69228972
5/7/2018,46100,46550,45600,45950,45185.83984,7039773,005930.ks,41.23391237,41.6364126,40.78668989,41.09974562,40.41624643
6/7/2018,45500,45850,44650,44900,44153.30469,17843706,005930.ks,40.69218564,41.00520245,39.93200195,40.15558539,39.48779057
9/7/2018,45500,46100,45200,45600,44841.66016,11602464,005930.ks,40.95027789,41.49028155,40.68027606,41.0402785,40.35776801
10/7/2018,46200,46550,46100,46300,45530.01953,10528665,005930.ks,41.35168841,41.66495877,41.26218259,41.44119423,40.7520169
11/7/2018,46400,46450,45400,46000,45235.01172,11224077,005930.ks,41.29190776,41.33640335,40.40199595,40.93594303,40.25517093
12/7/2018,45900,46250,45450,45500,44743.32813,11828104,005930.ks,40.76907019,41.07994545,40.36937342,40.41378417,39.74169683
13/7/2018,45800,46500,45750,46500,45726.69531,11543389,005930.ks,40.4068652,41.02443737,40.3627529,41.02443737,40.34219243
16/7/2018,46800,46800,46000,46050,45284.17969,7678719,005930.ks,41.5234721,41.5234721,40.81366916,40.85803184,40.17855495
17/7/2018,46150,46200,45600,45850,45087.50781,8892953,005930.ks,40.93852909,40.98288286,40.45063763,40.67240648,39.99601843
18/7/2018,46700,47200,46450,46550,45775.86328,10952645,005930.ks,41.17375887,41.6145914,40.9533426,41.0415091,40.3589798
19/7/2018,47050,47200,46600,46900,46120.04297,9880128,005930.ks,41.28293001,41.41454402,40.88808795,41.15131599,40.4669608
20/7/2018,47000,47600,46700,47450,46660.89844,10474547,005930.ks,41.46713943,41.99650717,41.20245556,41.86416524,41.16795706
23/7/2018,47100,47200,46150,46500,45726.69531,10823782,005930.ks,41.52327778,41.6114376,40.68575943,40.99431882,40.31257476
24/7/2018,46350,46600,45950,46150,45382.51563,8261363,005930.ks,41.07757126,41.29913313,40.72307226,40.90032176,40.22014066
25/7/2018,46250,46550,45900,46150,45382.51563,7222471,005930.ks,41.19427492,41.46148102,40.88253446,41.10520621,40.42161784
26/7/2018,46100,47000,46000,46900,46120.04297,7374946,005930.ks,41.17238646,41.97618576,41.08307542,41.88687472,41.19028704
27/7/2018,46450,47000,46450,46900,46120.04297,4762460,005930.ks,41.53126875,42.02302758,41.53126875,41.93361688,41.23625187
30/7/2018,46550,46800,46350,46500,45726.69531,5723035,005930.ks,41.64581658,41.86947833,41.46688719,41.60108423,40.90924954
31/7/2018,46200,46450,46000,46250,45480.85156,8033607,005930.ks,41.30159431,41.52508779,41.12279953,41.34629301,40.65869438
1/8/2018,46050,46850,46050,46550,45775.86328,7484499,005930.ks,41.19632859,41.91200857,41.19632859,41.64362858,40.95108589
2/8/2018,46550,46800,45500,45550,44792.49609,8560924,005930.ks,41.19472165,41.41596075,40.2655174,40.30976522,39.63940727
3/8/2018,45850,45900,45450,45750,44989.16797,8274944,005930.ks,40.7721315,40.81659402,40.41643133,40.68320646,40.00663626
6/8/2018,46150,46150,45750,45800,45038.33594,6771979,005930.ks,41.00067346,41.00067346,40.64530467,40.68972577,40.01304669
7/8/2018,46300,46750,45900,46700,45923.37109,9058174,005930.ks,41.34100372,41.74280613,40.98384602,41.69816142,41.00471393
8/8/2018,47000,47000,46550,46800,46021.70703,6429338,005930.ks,41.94450862,41.94450862,41.54291226,41.76602135,41.07144441
9/8/2018,47000,47050,46450,46900,46120.04297,12010886,005930.ks,41.97676479,42.02142092,41.48554733,41.88745252,41.19085523
10/8/2018,46150,46400,44850,45400,44644.98828,16670643,005930.ks,40.87190191,41.09330983,39.72058073,40.20767815,39.53901586
13/8/2018,44950,45100,44650,45050,44300.80859,9803831,005930.ks,39.59650282,39.72863798,39.3322325,39.68459292,39.02462942
14/8/2018,44850,45400,44850,45150,44399.14844,6409259,005930.ks,39.76053941,40.24812685,39.76053941,40.02649619,39.3608493
16/8/2018,43800,44650,43700,44250,43514.11719,10088229,005930.ks,38.76860559,39.52096438,38.68009279,39.16691318,38.51556272
17/8/2018,44050,44400,44050,44100,43366.60938,6808747,005930.ks,39.1283044,39.43919899,39.1283044,39.17271792,38.52126884
20/8/2018,43500,44200,43500,43850,43120.76563,7289124,005930.ks,38.75898228,39.38269004,38.75898228,39.07083616,38.42108025
21/8/2018,43700,44900,43700,44800,44054.96875,9520270,005930.ks,39.03100661,40.10279626,39.03100661,40.01348046,39.3480498
22/8/2018,45150,46200,44900,46100,45333.34766,11641656,005930.ks,40.37587282,41.31484661,40.15230763,41.22542053,40.53983343
23/8/2018,46150,46200,45700,46200,45431.6875,6730918,005930.ks,41.11335641,41.1578996,40.71246778,41.1578996,40.47343794
24/8/2018,45900,46400,45550,46150,45382.51563,6582535,005930.ks,41.15483477,41.60314451,40.84101794,41.37898964,40.69084819
27/8/2018,46100,46550,46000,46300,45530.01953,5263782,005930.ks,41.4305591,41.83497887,41.34068804,41.61030122,40.9183116
