,date,open,high,low,close,adj_close,volume,Stockname
0,4/9/2015,29400.0,29780.0,29400.0,29660.0,287.63320899999997,9107550.0,samsungtech15-19
1,4/10/2015,29600.0,29880.0,29560.0,29800.0,288.990875,9960100.0,samsungtech15-19
2,4/13/2015,29580.0,29820.0,29360.0,29580.0,286.85736099999997,10293300.0,samsungtech15-19
3,4/14/2015,29700.0,29700.0,29300.0,29480.0,285.887604,9429750.0,samsungtech15-19
4,4/15/2015,29200.0,29400.0,28540.0,28920.0,280.45697,13551050.0,samsungtech15-19
5,4/16/2015,29240.0,29540.0,28940.0,29540.0,286.46948199999997,10762350.0,samsungtech15-19
6,4/17/2015,29540.0,29560.0,28940.0,29000.0,281.232727,10172300.0,samsungtech15-19
7,4/20/2015,28920.0,28960.0,28460.0,28600.0,277.353668,12394900.0,samsungtech15-19
8,4/21/2015,28420.0,28900.0,28400.0,28880.0,280.069031,11852650.0,samsungtech15-19
9,4/22/2015,28880.0,29460.0,28720.0,29220.0,283.366241,12655550.0,samsungtech15-19
10,4/23/2015,29400.0,29400.0,28800.0,29020.0,281.42669700000005,9245150.0,samsungtech15-19
11,4/24/2015,28980.0,29100.0,28000.0,28200.0,273.474609,19089900.0,samsungtech15-19
12,4/27/2015,28200.0,28220.0,27500.0,27900.0,270.565308,16517150.0,samsungtech15-19
13,4/28/2015,27800.0,28000.0,27180.0,27320.0,264.940643,15697300.0,samsungtech15-19
14,4/29/2015,27340.0,27880.0,27280.0,27700.0,268.62573199999997,10895650.0,samsungtech15-19
15,4/30/2015,27700.0,28360.0,27580.0,28200.0,273.474609,18352850.0,samsungtech15-19
16,5/4/2015,28140.0,28460.0,27940.0,28000.0,271.535034,8283700.0,samsungtech15-19
17,5/6/2015,27800.0,27820.0,27120.0,27240.0,264.164825,13270500.0,samsungtech15-19
18,5/7/2015,27240.0,27500.0,27080.0,27400.0,265.716461,10257400.0,samsungtech15-19
19,5/8/2015,27320.0,27400.0,26760.0,26760.0,259.509918,9488100.0,samsungtech15-19
20,5/11/2015,27200.0,27200.0,26720.0,26720.0,259.12203999999997,9640450.0,samsungtech15-19
21,5/12/2015,26900.0,27060.0,26480.0,26620.0,258.152252,10633200.0,samsungtech15-19
22,5/13/2015,26980.0,26980.0,26520.0,26660.0,258.540161,9877250.0,samsungtech15-19
23,5/14/2015,26820.0,26860.0,26560.0,26800.0,259.897827,8488500.0,samsungtech15-19
24,5/15/2015,27100.0,27120.0,26420.0,26520.0,257.182495,8922350.0,samsungtech15-19
25,5/18/2015,26700.0,26700.0,26180.0,26400.0,256.018768,9626850.0,samsungtech15-19
26,5/19/2015,26420.0,27100.0,26140.0,26760.0,259.509918,8680900.0,samsungtech15-19
27,5/20/2015,26980.0,27400.0,26820.0,27320.0,264.940643,10291450.0,samsungtech15-19
28,5/21/2015,27420.0,27440.0,26880.0,27040.0,262.225281,7210600.0,samsungtech15-19
29,5/22/2015,27060.0,27060.0,26700.0,27000.0,261.837372,8195800.0,samsungtech15-19
30,5/26/2015,27320.0,27380.0,26720.0,27240.0,264.164825,10034150.0,samsungtech15-19
31,5/27/2015,27200.0,27320.0,26260.0,26280.0,254.855087,17265450.0,samsungtech15-19
32,5/28/2015,26340.0,26420.0,26020.0,26180.0,253.8853,15048150.0,samsungtech15-19
33,5/29/2015,26400.0,26420.0,25940.0,26140.0,253.497406,17380750.0,samsungtech15-19
34,6/1/2015,26000.0,26020.0,25760.0,25820.0,250.394119,10921950.0,samsungtech15-19
