,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['EditorialTime for sincerity from US in trade talks with China tradewar  pictwittercomcaS0su9e0120190730 234728000011'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['When are Chinas official PMI and Aussie CPI data and how could they affect AUDUSD  AUDUSD PMI CPI EconomicIndicator TradeWar20190730 23313800001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['US tariffs on Chinese imports have helped Samsung which makes many smartphones in Vietnam Others are also moving to Vietnam some to India Hardly any to the US China tradewar  20190730 23224800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['US President Donald Trump ripped into China after US negotiators arrived in Shanghai to resurrect talks ChinaUS tradewar  20190730 23100000000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['What do you expect from a trade war20190730 23030900000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Apples Tim Cook  AAPL is investigating capability of making Mac Book Pro domestically TradeWar20190730 22040800001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
