,User,Date,Tweets
81,Mashable,2019-11-08 17:07:00,When you want the latest tech but still wanna be old school 
82,Mashable,2019-11-08 17:04:00,Calling all Jims Calling all Pams 
83,Mashable,2019-11-08 16:47:00,Airbnb is reportedly making some changes after recent events 
84,Mashable,2019-11-08 16:37:00,YandexRover can you pick up my McDonalds for me please 
85,Mashable,2019-11-08 16:20:43,Me grocery shopping from the office kitchen after everyone leaves on Friday  
86,Mashable,2019-11-08 16:17:00,Grab the printer and your captains hats because were going boating 
87,Mashable,2019-11-08 16:11:17,Bored taxpayer rebels and transforms the IRS hold music into something beautiful 
88,Mashable,2019-11-08 16:07:00,Whats in an iPhone These scientists made an iPhone smoothie to find out 
89,Mashable,2019-11-08 15:47:00,This trash can crushes your garbage to save space 
90,Mashable,2019-11-08 15:37:00,Fall asleep anywhere with this wearable sleeping bag 
91,Mashable,2019-11-08 15:26:43,Apples new iOS update fixes dreaded multitasking bug
92,Mashable,2019-11-08 15:17:00,Imagine getting one of these while trick or treating 
93,Mashable,2019-11-08 15:07:00,We wouldnt want this robot coming after us 
94,Mashable,2019-11-08 15:04:57,The lack of depth is noticeable  but its star is stunning
95,Mashable,2019-11-08 14:54:00,Reddit working together  
96,Mashable,2019-11-08 14:46:55,Trevor Noah goes after the vaping industry doesnt hold back  
97,Mashable,2019-11-08 14:34:00,This digital art exhibit changes based on the visitors mood 
98,Mashable,2019-11-08 14:21:32,Willem Dafoe delivers a monologue for the ages in intense clip from The Lighthouse 
99,Mashable,2019-11-08 14:14:00,Humansized monster penguin Enough said 
100,Mashable,2019-11-08 14:01:12,Aisling Bea sings Disney songs during podcast technical difficulties and just wow  
101,Mashable,2019-11-08 13:54:00,This ball can entertain your pets while youre away 
102,Mashable,2019-11-08 13:38:37,Sesame Street stars crash James Cordens show for a delightful musical opening 
103,Mashable,2019-11-08 13:24:00,This smart treadmill will help your cat get swole 
104,Mashable,2019-11-08 13:16:06,Netflixs Let It Snow is here to kick your holiday season off right
105,Mashable,2019-11-08 13:04:00,Guided by magnets this tiny thread could one day enter your brain to clear blood clots 
106,Mashable,2019-11-08 13:02:05,Willem Dafoe rages at Robert Pattinson in intense clip from The Lighthouse 
107,Mashable,2019-11-08 12:54:00,BMW just painted a car with the blackest black known to man 
108,Mashable,2019-11-08 12:34:00,Porsche vs Tesla who you got 
109,Mashable,2019-11-08 12:27:59,A Throwback time 
110,Mashable,2019-11-08 12:14:00,Turning orange peels into 3D printer filament 
111,Mashable,2019-11-08 11:58:21,The horror master did not hold back 
112,Mashable,2019-11-08 11:54:00,Note to self Never drive in Pittsburgh 
113,Mashable,2019-11-08 11:34:00,Hmmm Saturn still has rings I see  me 
114,Mashable,2019-11-08 11:32:04,Im not trying to sell you me Im trying to sell you you 
115,Mashable,2019-11-08 11:10:01, and Google team up to share Puerto Rican art with the world  
116,Mashable,2019-11-08 11:04:00,This could mean a lot for the future of revitalizing nearextinct species 
117,Mashable,2019-11-08 10:47:26,Steve Carells answers to Ellens rapidfire questions are hilariously stupid  
118,Mashable,2019-11-08 10:34:00,Who needs scaffolding in the age of drones 
119,Mashable,2019-11-08 10:24:57,Man pleads guilty to stalking his ex using her cars builtin tracking app  
120,Mashable,2019-11-08 10:24:00,Waking up to coffee is scientifically the best way to wake up Probably 
121,Mashable,2019-11-08 10:04:00,Rent is going up so millennials are moving out 
122,Mashable,2019-11-08 09:53:29,Michelle Obama assembles her Voting Squad 
123,Mashable,2019-11-08 09:34:00,Now you just need a camera to see who keeps eating your food 
124,Mashable,2019-11-08 09:04:00,I wouldnt trust that hotel bed if I were you 
125,Mashable,2019-11-08 08:44:00,This is literally a dream no pun intended 
126,Mashable,2019-11-08 08:28:03,Planning to buy a Google Pixel 4 You should absolutely wait a few days  
127,Mashable,2019-11-08 08:14:00,This innovative thermometer could change the way we measure body temp 
128,Mashable,2019-11-08 07:54:00,OK vegans its your time to shine 
129,Mashable,2019-11-08 07:24:00,These smart glasses could help those with vision loss see again 
130,Mashable,2019-11-08 07:01:10,Watch this adorable beluga whale play fetch with a football near the South Pole  
131,Mashable,2019-11-08 06:44:00,Because we need someone to create the next Fortnite 
132,Mashable,2019-11-08 06:04:00,This autonomous truck is seriously cool 
133,Mashable,2019-11-08 05:54:00,Say goodbye to doggy bath time 
134,Mashable,2019-11-08 05:50:41,Adjust your expectations accordingly Or dont 
135,Mashable,2019-11-08 05:34:00,So likeno more cleaning our sheets right 
136,Mashable,2019-11-08 05:17:00,This bear is seriously cute and a seriously good teacher 
137,Mashable,2019-11-08 04:47:00,These robots built a bridge all by themselves 
138,Mashable,2019-11-08 04:27:00,We could watch these intricate wind sculptures all day long 
139,Mashable,2019-11-08 04:07:00,This robot is breaking the rules and drawing on walls 
140,Mashable,2019-11-08 03:47:00,These metal animal sculptures are so realistic you may need to do a double take 
141,Mashable,2019-11-08 03:27:00,These highway pillars are turning into vertical gardens to help fight air pollution 
142,Mashable,2019-11-08 03:07:00,This suitcase could make traveling with a baby SO much easier  
143,Mashable,2019-11-08 03:05:20,The shows lack of depth is noticeable  but its star is stunning 
144,Mashable,2019-11-08 02:47:00,Finally A better way to take those midday nap breaks 
145,Mashable,2019-11-08 02:41:49,They just need to make them a better shade of beige 
146,Mashable,2019-11-08 02:27:00,We can hardly believe these arent photographs 
147,Mashable,2019-11-08 02:16:42,This burger with a face and teeth is freaking everybody out 
148,Mashable,2019-11-08 02:07:00,Scientists are growing vegetables in Antarctica in preparation for space colonies 
149,Mashable,2019-11-08 01:50:19,Deepfake of Arnold Schwarzenegger in No Country for Old Men will mess you up 
150,Mashable,2019-11-08 01:47:00,This AR headset will make you feel like youre in a scifi movie 
151,Mashable,2019-11-08 01:27:00,The handwriting of some of your favorite musicians are now available as fonts 
152,Mashable,2019-11-08 01:23:55, and Google team up to share Puerto Rican art with the world  
153,Mashable,2019-11-08 01:07:00,Turn your hand into a computer mouse with this new wearable device 
154,Mashable,2019-11-08 01:01:28,Is this chicken sandwich better than Popeyes  
155,Mashable,2019-11-08 00:47:00,This man scanned himself and then created the tallest 3D printed human sculpture 
156,Mashable,2019-11-08 00:39:04,Deepfake of Arnold Schwarzenegger in No Country for Old Men will mess you up 
157,Mashable,2019-11-08 00:27:00,NASA researchers have found a way to grow wheat on the International Space Station 
158,Mashable,2019-11-08 00:17:20,Michelle Obama assembles her Voting Squad 
159,Mashable,2019-11-08 00:07:00,Wed like one of these in an adult size please  
160,Mashable,2019-11-07 23:52:06,CES finally honors the first cannabis company with an innovation award  
161,Mashable,2019-11-07 23:47:00,This female sushi chef explains why you almost never see women making sushi 
162,Mashable,2019-11-07 23:27:00,From juggling to playing the guitar these prosthetic fingers are helping people do the things they love 
163,Mashable,2019-11-07 23:19:06,Need to get in the zone One flow researcher gushes over the power of weed exercise and coffee 
164,Mashable,2019-11-07 23:07:00,This road can charge vehicles as they drive on 
165,Mashable,2019-11-07 22:48:20,Books to give activists as they prepare for the upcoming election 
166,Mashable,2019-11-07 22:47:00,These minimalist sneakers are also super ecofriendly 
167,Mashable,2019-11-07 22:27:00,This 3Dprinted house took only 48 hours to finish 
168,Mashable,2019-11-07 22:25:11,YouTuber attempts to create a chicken sandwich thats better than Popeyes  
169,Mashable,2019-11-07 22:07:00,Were not quite sure how we feel about these videos 
170,Mashable,2019-11-07 22:01:12,CES finally honors the first cannabis company with an innovation award  
171,Mashable,2019-11-07 21:47:00,Robots can now assemble Ikea furniture and weve never been more grateful for technology 
172,Mashable,2019-11-07 21:27:00,This awesome coffee stirring device will help you cut down on plastic use 
173,Mashable,2019-11-07 21:18:26, and Google team up to share Puerto Rican art with the world  
174,Mashable,2019-11-07 21:07:00,Bored Why not tour the moon 
175,Mashable,2019-11-07 21:04:14,The LG G8X has a dual screen but its best feature is the price 
176,Mashable,2019-11-07 20:54:09,Me trying to get through this yearlong week unscathed 
