Tweets,Date
SPY Big News With his imaginary phone calls SPX QQQ IWM DJI AAPL TSLA FB AMZN GS JPM BAC C GOOGL SPOT XLE BA BABA UVXY LYFT CMG tradewar China TradeTalks tariffs currency manipulation phonecallthatneverhappend  ,2019-08-30
Farmer on CNN If the trade war ends tomorrow it will still take us  years to recover ,2019-08-30
This SOB gave our tax dollars to the farmers to secure their votes Never mind that his trade war is the cause of their financial woes ,2019-08-30
Trump raised taxes on Americans by  billion with his trade war  and it will get worse Topbuzz ,2019-08-30
It is almost as ironic as all the MAGA crap being made in China Every time I see one I chuckle Because China is winning the trade war one idiot at a time ,2019-08-30
The USA would be considered mad if votes against Trump changed midstreamthe world is in turmoila huge trade war   ,2019-08-30
Trade war US set to hit China with new wave of tariffs   August   at PM via mikejulietbravo ,2019-08-30
Democratic candidates are turning away from real issues Hong Kong and trade war with China They have no idea on how to deal with the threat We have to vote for Trump who is doing the dirty work for US Although big guys in Wall Street dont like it it is critical for future ,2019-08-30
Trump says great unity at G summit despite tensions over his trade war with China   politics worldnews ,2019-08-30
What motherfucking law Pardon who for the second time President of NK is not Trump Is giving billions in emergency farm aid during trade war What lie Enrich himself and family that is what people all work to do Nancy is the speaker not the president ,2019-08-30
A strong dollar  less exports his trade war is actually helping the people hes making Americans fight Its like Russias Putin Trumps fight somehow always benefit the enemy ,2019-08-30
We have interest only resets Exports to China downturn  rising construction unemployment  trade war escalation  international recession  retail down turn  falling fixed interest  this is half time the nd half is footy in a minefield  ,2019-08-30
National Zoo hopes China trade war wont affect DCs pandas   ,2019-08-30
North Dakota farmer says if Trump doesnt lose  percent of his farmbelt support over trade war people are kind of crazy   ,2019-08-30
Trump Is Following Bushs War Playbook The president opposed the Iraq war as a candidate Now hes using Bushs bad arguments to support his trade war  ImpeachTrump ImpeachKavanaugh TheResistancepictwittercomrJuiNhft ,2019-08-30
This is all starting to unravel Trumps trade war debacle has Wall Street and farmers turning on him   ,2019-08-30
  of large US companies with ops in China want to move all or some ops out Only  back to US  before trump or trade war  leaving  back to US   ,2019-08-30
