Tweets,Date
Because the China trade war wasnt enough uncertainty for markets to deal with20190530 23525200000,2019-05-30
Trump slaps tariffs on MXN USDMXN flies 4000 pips thru 1910 res This is  winning the SB IRS this crash nets you from us  200 million 50 For damn sure exclaims our tax lawyer wo dropping a spill of champ Basics Exports threatened by trade war MXN goes south pictwittercomSg0O4IOW8P20190530 23525000000,2019-05-30
Apparently Trump has given up on the economy and his Presidency Seems like realDonaldTrump is intent on taking the entire country down with him tariffs tradewar incompetence impeachment trump maga20190530 23524900000,2019-05-30
A full on trade war is the last thing thing they need20190530 23523400000,2019-05-30
Tradewar   ComfortablySmug20190530 23522500000,2019-05-30
Awesomeness No reason to leave them out of the trade war disasters20190530 23522500000,2019-05-30
Last years rotten Halloween pumpkin is now waging a trade war against 1 China 2 The EU 3 Mexico The only thing he has left is a good economy is he trying to crash it  20190530 23521900001,2019-05-30
A stupid trade war with China Official visits to Taiwan and the Dalai Lama Conflict with everyone and their brother A catbird seat once sat upon by Vlad is increasingly a hot seat President Baby Blimp Trump is weighing war with  near everyone  20190530 23520700000,2019-05-30
Costco says prices will go up in the wake of US trade war with China as tariffs rise   via usatoday20190530 23520300002,2019-05-30
How much will this cost an American household the Federal Reserve Bank calculated the cost of the USChina trade war for a typical household The tab is 831 for 2019 Thanks for punishing our country with your crappy tariffs20190530 23520300000,2019-05-30
An overlooked consequence of the trade war could be even less transparency and truthtelling between nations writes tylercowen 23520000000,2019-05-30
Trump Costco says prices will go up in the wake of US trade war with China as tariffs rise   via USATODAY20190530 23513200000,2019-05-30
Is this some of Trumps so called winning China accuses US of economic terrorism as trade war tensions escalate  20190530 23510500000,2019-05-30
Trade war spreads  20190530 23505400000,2019-05-30
That isnt a trade war Mexico needs us wayyyyy more than we need them Its an ultimatum20190530 23504200000,2019-05-30
JUST IN Dow futures tumble 160 points after Pres Trump says US will hit all imports from Mexico with 5 tariff starting June 10 due to flow of migrants CNBC rpts comes amid trade war with China threatened levies on Europe talks with Japan  pictwittercomuheKpWw4SU20190530 23504100006,2019-05-30
China reportedly lining up countries against US in pending trade war  20190530 23503600000,2019-05-30
Theyre potentially about to be a target of the TrAdE wAr20190530 23502600000,2019-05-30
No Lets just sit back and watch Trump tank the economy Trade war with a source of produce to cover for our flooded areas Food prices are going up any way Now a source of food imports will jack their prices up as well High priced food means much more winning20190530 23501100000,2019-05-30
Costco says prices will go up in the wake of US trade war with China as tariffs rise  20190530 23500200001,2019-05-30
Trade War Starts Changing Manufacturers in HardtoReverse Ways  20190530 23495200000,2019-05-30
TRADE WAR DEBATE Trish Regan FOX vs Liu Xin CGTN  via YouTube I really appreciate the publication of this blogger very neutral and clear20190530 23494900000,2019-05-30
Worth reading Ron Insana Theres much more this market should be worried about than just the trade war  20190530 23493000000,2019-05-30
that would be a resounding NO JohnCornyn will just look down at his cowboy boots while his constituents bear even more loss due to this absurd trade war20190530 23492200000,2019-05-30
Heres why Chinas trade war threat to restrict rare earth minerals is so serious  23491400000,2019-05-30
What one trade war isnt good enough for you You do realize youre screwing the ONLY people left supporting you20190530 23490200000,2019-05-30
You cannot win a trade war with China20190530 23485600000,2019-05-30
Will China use its US12 trillion of US debt as firepower to fight the trade war   via scmpnews20190530 23485000000,2019-05-30
WB management also lied to me on the phone in the middle of last year its IR Department told me its business was insulated from the trade war Some insulation Revenue growth has declined from almost 70 to mid teens Stay away from dishonest management20190530 23481800000,2019-05-30
After being told that we have to up end our entire operation our operating budget is a smoking crater and brace yourself 16 hour days are coming and Ive been voluntold this is my life until the easy to win trade war Im thinking her emails perhaps werent a big deal20190530 23481600000,2019-05-30
Trump threatens new trade war with Mexico and escalating tariffs 20190530 23474700000,2019-05-30
A ship could become a factor in both the China trade war and Iran tensions CNBC 20190530 23474700000,2019-05-30
The trade war with China is going so well he thinks the American consumers should double down with Mexico20190530 23472900002,2019-05-30
Trade war is intensifying expect big correction in US market Crude is down because Iran is quite for next 56 days After 6th June situation could be different Therefore June could be the month of big volatility20190530 23471700000,2019-05-30
Dont say we didnt warn you A phrase from China signals the trade war could get even worse  20190530 23471600000,2019-05-30
So wannabe Dictator realDonaldTrump is going to keep punishing the American people What does he care He got his tax for the rich Mexico was supposed to pay for the wall nope Americans are Business owners are paying more because of his stupid trade war with China20190530 23471100000,2019-05-30
So youre punishing American citizens with higher prices because you cant get a deal accomplished What is your fcking problem tariffs mexico tradewar ImpeachDonaldTrumpNOW incompetence economy20190530 23470300000,2019-05-30
Trade War Starts Changing Manufacturers in HardtoReverse Ways via NYTimes 20190530 23465600000,2019-05-30
Dont say we didnt warn you A phrase from China signals the trade war could get even worse  23465500000,2019-05-30
Drumpfs trade war wChina Walmart products are primarily made in China With tariffs Walmart pays more for inventory cost increase passed to consumers thru higher prices A no win situation altho Drumpf claims zero sum  he wins20190530 23465000000,2019-05-30
Chinese officials are accusing the Trump administration of  economic terrorism using the Tarrifs  tradewar20190530 23464700002,2019-05-30
Trump to put 5 tariff on US imports from Mexico which are 14 of total US importsThis may be immigration related but it will just ramp up trade war fears and their impact on US growth Share markets will likely remain under short term pressure until trade war resolved pictwittercomgp7Gis2NkH20190530 23464000009,2019-05-30
Fuckwit Prime aka Donald Trump just started a trade war with Mexico declaring a 5 tariff on ALL goods coming into the US until they stop the illegals A LOT of our produce comes from Mexico Tariffs get paid by Americans This is stupid pictwittercompW3ioqRPar20190530 23462900001,2019-05-30
China makes next move in trade war reportedly halting US soy purchases  23462700000,2019-05-30
Crude melting in trade War  WTIC OIL CLF20190530 23461900000,2019-05-30
This trade war is going to go exactly like his wall hasnt his tax scam bust his drug plan will as his foundation and university went as his performance in Helsinki went Pic of the loser pictwittercomOA9qlXUGct20190530 23461700000,2019-05-30
China taunts US over trade war Dont say we didnt warn you  pictwittercom0GfcZCm1ul20190530 23461000000,2019-05-30
Crude melting in trade War  23460500000,2019-05-30
Fixation on China as an existential threat to the cherished American Dream is having serious consequences ChinaUS tradewar tariff  pictwittercomMyzYuQ5q9n20190530 23460100000,2019-05-30
Chinas next move in the trade war could cripple US F35 stealth fighter production   via businessinsider20190530 23455800000,2019-05-30
Also going on Martha MacCallum is interviewing an Obama era economist about trade war Why Cat has a 15 GDP history and calls China an Ally lol Wonder why you cant trust Dems with cyber security Talks a good game Jackass Dems losing calling it a Trump mistake20190530 23455700000,2019-05-30
US is buyers market In a trade war sellers get hurt20190530 23455000000,2019-05-30
thanks to the trade war with China Mexico now is the first ally20190530 23452100000,2019-05-30
Only five Dow stocks have gained in May as trade war drags on  CNBC Thank Trump Seems trade war is st a standoff No art for the deal maker  20190530 23451300000,2019-05-30
 Trump intensifies his global trade war yen crosses on the slide20190530 23450400000,2019-05-30
The trade war makes a convenient excuse for a lot of stuff that was happening anyway  23450400002,2019-05-30
Trumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  23450000000,2019-05-30
Only five Dow stocks have gained in May as trade war drags on  23445500000,2019-05-30
Daily Digest Asian Open  Wall Street Trades Higher Oil Down   axitrader SPX DJIA NASDAQ AUDUSD OIL GOLD ausbiz ironore EURUSD USDJPY forex Brexit tradewar Mexico Bitcoin Losses may exceed deposits20190530 23445200000,2019-05-30
And what about your best deal ever with Canada and Mexico Seems you prefer the next trade war ImpeachDonaldTrumpNOW20190530 23444600000,2019-05-30
So your logic is to start a trade war So again you increase prices to the consumer Mexico can respond plus no way that will stand up in any court20190530 23444300000,2019-05-30
China threat to use rare earths as leverage in trade war with US  20190530 23443700000,2019-05-30
And there goes that trade deal you bragged about How big of a bailout will you be giving farmers for this trade war20190530 23442700000,2019-05-30
Forget about tariffs being a tax on consumers The economic impact of this is minor The real damage done by a potential ChinaUS tradewar to the US economy is to the supplychains of US businesses20190530 23442200000,2019-05-30
NEWS Trump intensifies his global trade war yen crosses on the slide May 31 2019 at 1238AM  pictwittercomnI84WUKyvq20190530 23441300000,2019-05-30
USChina trade war of words heads for Fox cable TV faceoff  pictwittercomzprnLYCkBS20190530 23440000000,2019-05-30
The American taxpayer will foot the bill for Trumps Trade War realDonaldTrump 20190530 23432700005,2019-05-30
Trump says US will impose 5 tariff on all Mexicanimports from June 10 USMCA tradewar tariffwar spy spx dia dji djia qqq ixic iwn iwm iwo maga 20190530 23432500000,2019-05-30
The Risk of Trumps Trade War Is More Than Just Higher Prices  Alasdair Macleod  20190530 23431200000,2019-05-30
