Date,News_Senti,Close_USD,Stock_Difference,Twitter_Senti
1/7/2018,0.149426148,0,0,0.354321505
2/7/2018,0.149426148,40.66022303,0.007701918,0.354321505
3/7/2018,-0.013257576,41.47232044,0.81209741,0.354321505
4/7/2018,0.149426148,41.3804565,-0.09186394,0.354321505
5/7/2018,0.149426148,41.09974562,-0.28071088,0.354321505
6/7/2018,0.149426148,40.15558539,-0.94416023,0.354321505
7/7/2018,0.149426148,0,-0.94416023,0.354321505
8/7/2018,0.149426148,0,-0.94416023,0.354321505
9/7/2018,0.149426148,41.0402785,0.88469311,0.354321505
10/7/2018,0.149426148,41.44119423,0.40091573,0.354321505
11/7/2018,0.149426148,40.93594303,-0.5052512,0.354321505
12/7/2018,0.149426148,40.41378417,-0.52215886,0.354321505
13/7/2018,0.070484254,41.02443737,0.6106532,0.354321505
14/7/2018,0.149426148,0,0.6106532,0.354321505
15/7/2018,0.149426148,0,0.6106532,0.354321505
16/7/2018,0.149426148,40.85803184,-0.16640553,0.354321505
17/7/2018,0.149426148,40.67240648,-0.18562536,0.354321505
18/7/2018,0.149426148,41.0415091,0.36910262,0.354321505
19/7/2018,0.03361631,41.15131599,0.10980689,0.354321505
20/7/2018,0.149426148,41.86416524,0.71284925,0.354321505
21/7/2018,0.149426148,0,0.71284925,0.354321505
22/7/2018,0.149426148,0,0.71284925,0.354321505
23/7/2018,0.123650897,40.99431882,-0.86984642,0.354321505
24/7/2018,0.149426148,40.90032176,-0.09399706,0.354321505
25/7/2018,0.149426148,41.10520621,0.20488445,0.354321505
26/7/2018,0.149426148,41.88687472,0.78166851,0.354321505
27/7/2018,0.149426148,41.93361688,0.04674216,0.354321505
28/7/2018,0.323089478,0,0.04674216,0.354321505
29/7/2018,0.149426148,0,0.04674216,0.354321505
30/7/2018,0.05,41.60108423,-0.33253265,0.354321505
31/7/2018,0.149426148,41.34629301,-0.25479122,-0.34
1/8/2018,0.184907388,41.64362858,0.29733557,0.354321505
2/8/2018,0.120138889,40.30976522,-1.33386336,0.354321505
3/8/2018,0.149426148,40.68320646,0.37344124,0.354321505
4/8/2018,-0.003273496,0,0.37344124,0.354321505
5/8/2018,0.149426148,0,0.37344124,0.354321505
6/8/2018,-0.036621024,40.68972577,0.00651931,0.354321505
7/8/2018,0.092704567,41.69816142,1.00843565,0.354321505
