Date,News_Senti
1/7/2018,0.149426148
2/7/2018,0.149426148
3/7/2018,-0.013257576
4/7/2018,0.149426148
5/7/2018,0.149426148
6/7/2018,0.149426148
7/7/2018,0.149426148
8/7/2018,0.149426148
9/7/2018,0.149426148
10/7/2018,0.149426148
11/7/2018,0.149426148
12/7/2018,0.149426148
13/7/2018,0.070484254
14/7/2018,0.149426148
15/7/2018,0.149426148
16/7/2018,0.149426148
17/7/2018,0.149426148
18/7/2018,0.149426148
19/7/2018,0.03361631
20/7/2018,0.149426148
21/7/2018,0.149426148
22/7/2018,0.149426148
23/7/2018,0.123650897
24/7/2018,0.149426148
25/7/2018,0.149426148
26/7/2018,0.149426148
27/7/2018,0.149426148
28/7/2018,0.323089478
29/7/2018,0.149426148
30/7/2018,0.05
31/7/2018,0.149426148
1/8/2018,0.184907388
2/8/2018,0.120138889
3/8/2018,0.149426148
4/8/2018,-0.003273496
5/8/2018,0.149426148
6/8/2018,-0.036621024
7/8/2018,0.092704567
8/8/2018,0.149426148
9/8/2018,0.101774236
10/8/2018,0.052210884
11/8/2018,0.149426148
12/8/2018,0.149426148
13/8/2018,0.046790162
14/8/2018,0.145972106
15/8/2018,0.149426148
16/8/2018,0.094758813
17/8/2018,0.149426148
18/8/2018,0.149426148
19/8/2018,0.149426148
20/8/2018,0.149426148
21/8/2018,0.149426148
22/8/2018,0.199513374
23/8/2018,0.149426148
24/8/2018,0.149426148
25/8/2018,0.149426148
26/8/2018,0.149426148
27/8/2018,0.149426148
28/8/2018,0.149426148
29/8/2018,0.149426148
30/8/2018,0.203933413
31/8/2018,0.149426148
1/9/2018,0.149426148
2/9/2018,0.149426148
3/9/2018,-0.013444195
4/9/2018,0.222372059
5/9/2018,0.179139181
6/9/2018,0.149426148
7/9/2018,0.149426148
8/9/2018,0.149426148
9/9/2018,0.149426148
10/9/2018,0.149426148
11/9/2018,0.149426148
12/9/2018,0.149426148
13/9/2018,0.149426148
14/9/2018,0.149426148
15/9/2018,0.149426148
16/9/2018,0.149426148
17/9/2018,0.263191001
18/9/2018,0.14736824
19/9/2018,0.149426148
20/9/2018,0.450190064
21/9/2018,0.149426148
22/9/2018,0.149426148
23/9/2018,0.149426148
24/9/2018,0.149426148
25/9/2018,0.149426148
26/9/2018,0.149426148
27/9/2018,0.252011844
28/9/2018,0.149426148
29/9/2018,0.149426148
30/9/2018,0.149426148
1/10/2018,0.149426148
2/10/2018,0.149426148
3/10/2018,0.310379772
4/10/2018,0.199302697
5/10/2018,-0.057383357
6/10/2018,0.149426148
7/10/2018,0.149426148
8/10/2018,0.153396465
9/10/2018,0.18552267
10/10/2018,0.149426148
11/10/2018,0.149426148
12/10/2018,0.149426148
13/10/2018,0.149426148
14/10/2018,0.149426148
15/10/2018,0.149426148
16/10/2018,0.172427908
17/10/2018,0.149426148
18/10/2018,0.386481091
19/10/2018,0.149426148
20/10/2018,0.149426148
21/10/2018,0.149426148
