Date,News_Senti,Close_USD,Stock_Difference,Twitter_Senti,Stock_Changes
9/8/2018,0.101774236,41.88745252,0.12143117,-0.1027,Increase
5/9/2018,0.179139181,41.52500096,-1.1122956,0,Decrease
24/10/2018,0.219227887,37.53258336,-0.30813619,0,Decrease
26/10/2018,0.072398624,35.8310994,-0.2731894,0.1222,Decrease
8/11/2018,0.188299225,39.44157758,0.1468837,1.6313,Increase
16/11/2018,0.216243274,38.88643091,-0.06590238,0.1027,Decrease
23/11/2018,0.252348102,37.45281096,-0.14358441,0.2757,Decrease
25/11/2018,0.312650515,0,-0.14358441,0,Decrease
26/11/2018,0.715039406,37.76261058,0.30979962,0.9524,Increase
10/12/2018,0.270494228,35.67483805,-0.74131702,0.1979,Decrease
3/1/2019,0.210892857,33.35637953,-1.18619704,0,Decrease
8/1/2019,0.098320645,33.82409089,-0.79275725,0.4019,Decrease
11/1/2019,0.079190555,36.23184865,0.61673973,0.34,Increase
14/1/2019,0.064041852,35.66129972,-0.57054893,-0.3182,Decrease
24/1/2019,0.217204372,38.10784199,0.8680604,-0.5423,Increase
1/2/2019,0.232193657,41.49445108,-0.00363123,0.6081,Decrease
9/2/2019,0.081754484,0,-1.16747241,0.6124,Decrease
11/2/2019,0.155749559,39.9893918,0.0901171,-0.3182,Increase
16/2/2019,0.264235794,0,-1.28070121,0,Decrease
20/2/2019,0.272357723,41.7708937,1.02026158,0.9769,Increase
21/2/2019,0.105834536,41.72402376,-0.04686994,0.2585,Decrease
24/2/2019,0.059739604,0,0.21547907,0.4404,Increase
27/2/2019,0.188078014,41.79882526,-0.02217868,1.4667,Decrease
1/3/2019,0.093341991,0,-1.60885906,0,Decrease
11/3/2019,0.230452728,38.48571294,-0.0470246,0.3182,Decrease
22/3/2019,0.105167047,41.0121608,0.39366092,0,Increase
26/3/2019,0.078402625,39.88709199,-0.27342147,0,Decrease
27/3/2019,-0.025,39.8662256,-0.02086639,-0.296,Decrease
4/4/2019,0.128877227,41.27767677,0.1968911,0,Increase
8/4/2019,0.021548991,40.72834618,-0.46213392,0.6124,Decrease
10/4/2019,0.070833333,41.05162537,0.11089181,0.4019,Increase
18/4/2019,-0.007350108,40.11102858,-1.4078915,0.4404,Decrease
19/4/2019,0.02120558,39.81054084,-0.30048774,0,Decrease
23/4/2019,0.024032729,39.57718842,-0.16773793,0.8126,Decrease
24/4/2019,0.246638836,38.87700255,-0.70018587,-0.4767,Decrease
25/4/2019,0.086006833,38.38719015,-0.4898124,1.1673,Decrease
30/4/2019,-0.065046296,39.32273454,-0.44330101,0.5106,Decrease
6/5/2019,0.114431818,0,-0.74143251,0,Decrease
7/5/2019,0.134431818,38.29865326,-0.42092715,0.4172,Decrease
8/5/2019,0.042080983,37.73827741,-0.56037585,0.1779,Decrease
13/5/2019,-0.015080245,35.90217839,-0.44881609,0,Decrease
14/5/2019,0.362932632,35.91275878,0.01058039,0,Increase
16/5/2019,0.099369937,34.9418355,-0.80015172,0,Decrease
21/5/2019,0.155740536,36.15919978,0.97752071,0.7804,Increase
6/6/2019,0.191155095,0,0.60726861,0.4019,Increase
19/6/2019,0.034299119,38.54313221,1.11416257,0.7224,Increase
20/6/2019,0.104002807,39.20506763,0.66193542,0,Increase
