,date,open,high,low,close,adj_close,volume,Open_USD,High_USD,Low_USD,Close_USD,Adj_Close_USD,stockname
0,2018-06-07,51800.0,51800.0,50500.0,50600.0,49391.16015625,13590016,51800.0,51800.0,50500.0,50600.0,49391.16015625,005930.ks
1,2018-06-08,50200.0,50400.0,49600.0,49650.0,48463.859375,16951706,50200.0,50400.0,49600.0,49650.0,48463.859375,005930.ks
2,2018-06-11,49750.0,50300.0,49350.0,49900.0,48707.8828125,10571312,49750.0,50300.0,49350.0,49900.0,48707.88281250001,005930.ks
3,2018-06-12,49700.0,49800.0,49250.0,49400.0,48219.828125,12110569,49700.0,49800.0,49250.00000000001,49400.0,48219.828125,005930.ks
4,2018-06-14,49000.0,49000.0,48200.0,48200.0,47048.4921875,20971729,49000.0,49000.0,48200.0,48200.0,47048.4921875,005930.ks
5,2018-06-15,48500.0,48700.0,47650.0,47650.0,46511.63671875,17080892,48499.99999999999,48700.0,47650.0,47650.0,46511.63671874999,005930.ks
6,2018-06-18,47600.0,47650.0,46200.0,46600.0,45486.71875,16661870,47600.0,47650.0,46200.0,46600.0,45486.71875,005930.ks
7,2018-06-19,47200.0,47350.0,46500.0,47000.0,45877.1640625,15217971,47200.0,47350.0,46500.0,47000.0,45877.1640625,005930.ks
8,2018-06-20,47450.0,47600.0,46850.0,47000.0,45877.1640625,12959316,47450.0,47600.0,46850.0,47000.0,45877.1640625,005930.ks
9,2018-06-21,47900.0,47900.0,47050.0,47050.0,45925.97265625,10015541,47900.0,47900.0,47050.0,47050.0,45925.97265625,005930.ks
10,2018-06-22,47000.0,47250.0,46200.0,47250.0,46121.19140625,10298006,47000.0,47250.0,46200.0,47250.0,46121.19140625,005930.ks
11,2018-06-25,47050.0,47050.0,46150.0,46650.0,45535.5234375,10587711,47050.0,47050.0,46150.0,46650.0,45535.5234375,005930.ks
12,2018-06-26,45900.0,47300.0,45900.0,47000.0,45877.1640625,11223166,45900.00000000001,47300.0,45900.00000000001,47000.0,45877.16406249999,005930.ks
