Date,News_Senti,Close_USD,Stock_Difference,Stock_Changes
2/10/2019,0.115224599,39.45000759,-1.17135274,Decrease
26/9/2019,0.131398165,40.95787383,0.22487373,Increase
12/9/2019,0.204593992,39.53178673,0,Constant
4/9/2019,0.152975699,36.58949065,0.45545429,Increase
21/8/2019,0.216560409,36.99144327,0.18956254,Increase
7/8/2019,0.126743881,35.53735662,-0.31524262,Decrease
25/7/2019,0.164975915,39.98201439,0.56853181,Increase
23/7/2019,0.271855887,40.12717347,0.03537893,Increase
18/6/2019,0.105670909,37.42896964,0.43871275,Increase
6/6/2019,0.191155095,37.3156464,0,Constant
11/5/2019,0.204134299,36.35099448,0,Constant
24/4/2019,0.246638836,38.87700255,-0.70018587,Decrease
18/4/2019,-0.007350108,40.11102858,-1.4078915,Decrease
4/4/2019,0.128877227,41.27767677,0.1968911,Increase
26/3/2019,-0.052237654,39.88709199,-0.27342147,Decrease
24/3/2019,0.1687818,41.0121608,0,Constant
11/3/2019,0.230452728,38.48571294,-0.0470246,Decrease
1/3/2019,0.093341991,40.1899662,0,Constant
24/2/2019,0.059739604,41.93950283,0,Constant
21/2/2019,0.105834536,41.72402376,-0.04686994,Decrease
20/2/2019,0.272357723,41.7708937,1.02026158,Increase
16/2/2019,0.264235794,40.85045536,0,Constant
3/1/2019,0.210892857,33.35637953,-1.18619704,Decrease
28/12/2018,0.084674287,34.64804784,0.011712527,Increase
9/12/2018,0.17164881,36.41615507,0,Constant
8/11/2018,0.04673221,39.44157758,0.1468837,Increase
24/10/2018,0.056787744,37.53258336,-0.30813619,Decrease
22/8/2018,0.199513374,41.22542053,1.21194007,Increase
9/8/2018,0.101774236,41.88745252,0.12143117,Increase
3/7/2018,-0.013257576,41.47232044,0.81209741,Increase
