,0,0
33,How soybeans became China's most powerful weapon in Trump's trade war http://ow.ly/LwRH50uthTP #trade #soybeans #tradewar @ConversationUS2019-05-30 23:55:02+00:000,2019-05-30
34,"China raises the stakes: Farmers who’ve struggled because of Donald Trump’s trade war with China are taking another hit, as China has halted purchases of American soybeans. So much winning. More: http://www.thetopline.com https://www.bloomberg.com/news/articles/2019-05-30/china-puts-u-s-soy-purchases-on-hold-as-tariff-war-escalates?srnd=premium …2019-05-30 23:54:53+00:000",2019-05-30
35,This trade war will hurt us as much as it hurts them. Americans can not all afford increased prices on the MANY things that come from Mexico.2019-05-30 23:54:49+00:000,2019-05-30
36,China gears up to weaponize rare earths in trade war https://www.aljazeera.com/ajimpact/china-gears-weaponize-rare-earths-trade-war-190529024225885.html …2019-05-30 23:54:37+00:000,2019-05-30
37,Trump says US will impose 5% tariff on all Mexican imports from June 10 @CNBC #TradeWar https://www.cnbc.com/2019/05/31/trump-says-us-will-impose-5percent-tariff-on-all-mexican-imports-from-june-10.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter …2019-05-30 23:54:34+00:000,2019-05-30
38,You get a Trump trade war tax!!!! You get a Trump trade war tax!!!! And you get a Trump trade war tax!!!! pic.twitter.com/liNfmn6zAp2019-05-30 23:54:34+00:000,2019-05-30
39,The US is putting more pressure on its own economy by opening a 2nd front in the trade war... Gives China no incentive to rush into a deal while it damages itself. Akin to invading Russia in winter...2019-05-30 23:54:21+00:001,2019-05-30
40,Does the rare earth media frenzy around the US-China trade war miss the mark? http://bit.ly/2XfSlQt cc: @investor_Intel2019-05-30 23:54:17+00:000,2019-05-30
41,US-China trade war hurts Asia chemical markets https://www.newscabal.co.uk/us-china-trade-war-hurts-asia-chemical-markets/ …pic.twitter.com/L2vHFxMSQX2019-05-30 23:54:08+00:000,2019-05-30
42,"Extreme weather is pummeling the Midwest, and farmers are in deep trouble — given the president these red states helped elect had caused a trade war with China, it is just as well China is not buying US soybeans https://www.washingtonpost.com/weather/2019/05/30/extreme-weather-is-pummeling-midwest-farmers-are-deep-trouble/ …2019-05-30 23:54:04+00:000",2019-05-30
43,"Potus is opening too many trade war ""fronts"" https://twitter.com/zerohedge/status/1134245778329866247 …2019-05-30 23:54:02+00:000",2019-05-30
44,You get a Trump trade war tax!!!! You get a Trump trade war tax!!!! And you get a Trump trade war tax!!!! https://twitter.com/realDonaldTrump/status/1134240653926232064 …pic.twitter.com/6TMIymw1Ei2019-05-30 23:53:59+00:000,2019-05-30
